Calibrated Field (T)	Sample Voltage (V)	Sample Current (A)	Acquisition Time (s)
Teslas	Volts	Amps	Seconds
0.0276535552	0.0068850171	-0.0050130412	0
0.0241660259	0.0068971845	-0.0050129991	0.2
0.0250324615	0.0069395503	-0.005012941	0.4
0.0283934611	0.006982643	-0.0050129046	0.6
0.0315965079	0.007024789	-0.0050128656	0.8
0.034303491	0.0070732699	-0.0050128407	1
0.0372555731	0.0071247164	-0.0050127964	1.2
0.0401862876	0.0071775761	-0.0050127631	1.4
0.0431375318	0.0072353799	-0.005012729	1.6
0.0462165626	0.0072920128	-0.0050127032	1.8
0.049241965	0.0073525488	-0.0050126775	2
0.0522958575	0.0074139284	-0.0050126527	2.2
0.0553895524	0.0074772147	-0.0050126367	2.4
0.0585318482	0.007537522	-0.0050126079	2.6
0.0615476142	0.0076001443	-0.0050125972	2.8
0.0647175621	0.0076662436	-0.0050125684	3
0.0679030121	0.0077301311	-0.0050125516	3.2
0.0710176557	0.0077956965	-0.005012536	3.4
0.0741888605	0.0078573363	-0.0050125174	3.6
0.0771882866	0.0079225069	-0.0050124957	3.8
0.0803875626	0.0079881666	-0.0050124868	4
0.0837632262	0.0080517849	-0.0050124717	4.2
0.0868296879	0.0081193647	-0.0050124487	4.4
0.0901085688	0.0081843873	-0.00501245	4.6
0.0933409437	0.0082483915	-0.0050124336	4.8
0.0966215005	0.0083113099	-0.0050124243	5
0.0997051401	0.008376301	-0.0050124189	5.2
0.1028947797	0.0084413326	-0.0050123906	5.4
0.1063186252	0.0085044484	-0.0050123835	5.6
0.1095849369	0.0085697716	-0.005012379	5.8
0.1128981735	0.0086344442	-0.0050123679	6
0.1161644852	0.0086995969	-0.0050123568	6.2
0.1195493662	0.0087595856	-0.0050123493	6.4
0.1226874723	0.0088227687	-0.0050123427	6.6
0.1258863294	0.0088874234	-0.0050123378	6.8
0.1293793053	0.0089498663	-0.0050123311	7
0.1326963127	0.0090145882	-0.0050123209	7.2
0.1360434862	0.0090775515	-0.0050123125	7.4
0.139400296	0.0091407077	-0.0050123045	7.6
0.1428321019	0.0092017283	-0.0050122983	7.8
0.1460544215	0.0092635251	-0.0050122952	8
0.1493328834	0.0093283638	-0.0050122894	8.2
0.1527982072	0.0093892902	-0.0050122748	8.4
0.1562274993	0.0094516792	-0.0050122659	8.6
0.1596345858	0.0095128658	-0.005012261	8.8
0.1629650004	0.0095731327	-0.0050122571	9
0.1662648299	0.0096354724	-0.0050122562	9.2
0.1697263829	0.0096962687	-0.005012238	9.4
0.1731007896	0.0097587025	-0.0050122429	9.6
0.1765376232	0.0098217421	-0.0050122251	9.8
0.1800339509	0.0098837991	-0.0050122247	10
0.1835235751	0.0099425496	-0.0050122163	10.2
0.1868862506	0.0100022871	-0.0050122109	10.4
0.1902133133	0.0100641646	-0.0050122025	10.6
0.1936983288	0.0101254589	-0.0050122061	10.8
0.1971054153	0.0101867039	-0.0050121874	11
0.2006478301	0.0102475495	-0.0050121825	11.2
0.2040875965	0.010307148	-0.0050121741	11.4
0.2076254026	0.0103666836	-0.0050121763	11.6
0.2108912953	0.0104263762	-0.0050121652	11.8
0.2142577415	0.0104868046	-0.0050121604	12
0.2178022511	0.0105479688	-0.0050121626	12.2
0.2211917408	0.0106077915	-0.0050121564	12.4
0.22478946	0.0106675246	-0.0050121573	12.6
