Calibrated Field (T)	Sample Voltage (V)	Sample Current (A)	Acquisition Time (s)	
Teslas	Volts	Amps	Seconds	
	86K			
0.0304137478	0.0081220518	0.0100324437	0
0.0249775761	0.0084177336	0.010032532	0.3333333333
0.0260669053	0.0100223402	0.0100326003	0.6666666667
0.0333524228	0.0127477147	0.0100327262	1
0.041903238	0.0152838778	0.0100328345	1.3333333
0.048903435	0.0177647979	0.0100329538	1.6666667
0.0555081217	0.0202202658	0.0100330341	2
0.0647850168	0.0227266292	0.010033133	2.3333333
0.0717956881	0.0250903965	0.0100332075	2.6666667
0.0786609759	0.0275915868	0.0100332886	3
0.0860772128	0.0300803181	0.0100333445	3.3333333
0.0955556338	0.0324441661	0.0100334035	3.6666667
0.102674819	0.03490264	0.0100334767	4
0.1100202496	0.0373888991	0.0100335139	4.3333333
0.1200073035	0.0398196865	0.0100335658	4.6666667
0.1271524651	0.0422752352	0.0100336146	5
0.1345896507	0.0447718089	0.0100336625	5.3333333
0.1445473765	0.0471920305	0.0100337047	5.6666667
0.1520042538	0.0497231372	0.0100337464	6
0.1597229891	0.0522437319	0.0100337987	6.3333333
0.1697607387	0.0546513104	0.0100338133	6.6666667
0.1772557425	0.0571482968	0.0100338723	7
0.1849857901	0.0596906065	0.0100338927	7.3333333
0.195402291	0.0621434273	0.0100339402	7.6666667
0.2028595873	0.0646110628	0.0100339686	8
0.2105406151	0.0671034281	0.0100339969	8.3333333
0.2208205309	0.0695254129	0.0100340324	8.6666667
0.228697638	0.072082241	0.0100340528	9
0.2364725156	0.0745445509	0.0100340794	9.3333333
0.2467008978	0.0769299434	0.0100341038	9.6666667
0.2543865343	0.0793691161	0.0100341304	10
0.2621325028	0.0818515886	0.0100341433	10.3333333
0.2726818181	0.0842521008	0.0100341823	10.6666667
0.28022249	0.0866438192	0.0100342014	11
0.2879680396	0.0890365023	0.0100342307	11.3333333
0.2981813387	0.0913781464	0.0100342631	11.6666667
0.3059457421	0.0938054298	0.0100342835	12
0.3137792759	0.0961408286	0.0100342999	12.3333333
0.3239255394	0.0984250762	0.0100343212	12.6666667
0.3314879979	0.1007427666	0.0100343469	13
0.3390370492	0.1030864251	0.0100343699	13.3333333
0.3494464277	0.1053534219	0.010034389	13.6666667
0.356857637	0.1076296431	0.0100344134	14
0.3644707911	0.1098835796	0.0100344241	14.3333333
0.3744540742	0.1120693294	0.0100344445	14.6666667
0.3819700267	0.1143806174	0.0100344764	15
0.3895613943	0.1165681036	0.0100344866	15.3333333
0.3995145114	0.118711599	0.0100345114	15.6666667
0.4068268431	0.1211897907	0.010034515	16
0.4141576096	0.1230642914	0.0100345309	16.3333333
0.4241735726	0.1251844246	0.0100345584	16.6666667
0.4313426157	0.1273015849	0.0100345704	17
0.4386620699	0.1294451455	0.0100345882	17.3333333
0.4483466255	0.1314811531	0.0100346183	17.6666667
0.4556183168	0.1336031055	0.0100346307	18
0.4628958738	0.1356206995	0.0100346436	18.3333333
0.4723449666	0.1376096749	0.0100346689	18.6666667
0.4794189029	0.1396575737	0.0100346782	19
0.4866155981	0.1417072472	0.010034703	19.3333333
0.4961639875	0.1436425792	0.0100347217	19.6666667
0.5029534412	0.145633995	0.0100347296	20
