P (mbar)	T (K)	logP(mbar)	T (experiment)	P(experiment)																											
mbar	K		K	mbar																											
1.0023052380779	1.24200829173833	1E-3			1.24200829173833																										
1.0046157902784	1.24224730562828	0.002	1.3	1.5785	1.24224730562828																										
1.0069316688518	1.24248703968603	0.003	1.4	2.82	1.24248703968603																										
1.00925288607668	1.24272749193272	0.004	1.5	4.715	1.24272749193272																										
1.0115794542599	1.24296866039445	0.005	1.6	7.4636	1.24296866039445																										
1.01391138573668	1.24321054310227	0.006	1.7	11.279	1.24321054310227																										
1.0162486928707	1.24345313809219	0.007	1.8	16.384	1.24345313809219																										
1.01859138805412	1.24369644340514	0.008	1.9	22.99	1.24369644340514																										
1.02093948370768	1.24394045708698	0.009	2	31.29	1.24394045708698																										
1.02329299228075	1.24418517718851	0.01	2.1	41.408	1.24418517718851																										
1.02565192625141	1.24443060176545	0.011	2.2	53.35	1.24443060176545																										
1.02801629812647	1.24467672887844	0.012	2.3	67.3	1.24467672887844																										
1.03038612044162	1.24492355659299	0.013	2.4	83.54	1.24492355659299																										
1.0327614057614	1.24517108297956	0.014	2.5	102.28	1.24517108297956																										
1.03514216667934	1.24541930611347	0.015	2.6	123.72	1.24541930611347																										
1.03752841581801	1.24566822407496	0.016	2.7	148.07	1.24566822407496																										
1.03992016582906	1.24591783494911	0.017	2.8	175.51	1.24591783494911																										
1.0423174293933	1.24616813682592	0.018	2.9	206.25	1.24616813682592																										
1.0447202192208	1.24641912780022	0.019	3	240.47	1.24641912780022																										
1.0471285480509	1.24667080597175	0.02	3.1	278.35	1.24667080597175																										
1.04954242865232	1.24692316944505	0.021	3.2	320.099	1.24692316944505																										
1.05196187382322	1.24717621632956	0.022	3.3	365.9	1.24717621632956																										
1.05438689639126	1.24742994473954	0.023	3.4	415.97	1.24742994473954																										
1.05681750921366	1.2476843527941	0.024	3.5	470.44	1.2476843527941																										
1.05925372517729	1.24793943861717	0.025	3.6	529.56	1.24793943861717																										
1.06169555719872	1.24819520033751	0.026	3.7	593.51	1.24819520033751																										
1.06414301822432	1.2484516360887	0.027	3.8	662.47	1.2484516360887																										
1.06659612123026	1.24870874400914	0.028	3.9	736.64	1.24870874400914																										
1.06905487922266	1.24896652224204	0.029	4	816.19	1.24896652224204																										
1.07151930523761	1.24922496893538	0.03	4.1	901.35	1.24922496893538																										
1.07398941234124	1.24948408224198	0.031	4.2	992.33	1.24948408224198																										
1.07646521362983	1.24974386031941	0.032	4.3	1089.36	1.24974386031941																										
1.07894672222983	1.25000430133004	0.033			1.25000430133004																										
1.08143395129794	1.25026540344102	0.034			1.25026540344102																										
1.0839269140212	1.25052716482425	0.035			1.25052716482425																										
1.08642562361707	1.25078958365642	0.036			1.25078958365642																										
1.08893009333343	1.25105265811896	0.037			1.25105265811896																										
1.09144033644876	1.25131638639805	0.038			1.25131638639805																										
1.09395636627209	1.25158076668463	0.039			1.25158076668463																										
1.09647819614319	1.25184579717435	0.04			1.25184579717435																										
1.09900583943252	1.25211147606763	0.041			1.25211147606763																										
1.10153930954142	1.25237780156958	0.042			1.25237780156958																										
1.10407861990207	1.25264477189006	0.043			1.25264477189006																										
1.10662378397767	1.25291238524362	0.044			1.25291238524362																										
1.1091748152624	1.25318063984953	0.045			1.25318063984953																										
1.11173172728159	1.25344953393176	0.046			1.25344953393176																										
1.11429453359173	1.25371906571898	0.047			1.25371906571898																										
1.11686324778056	1.25398923344454	0.048			1.25398923344454																										
1.11943788346715	1.25426003534648	0.049			1.25426003534648																										
1.12201845430196	1.2545314696675	0.05			1.2545314696675																										
1.12460497396693	1.254803534655	0.051			1.254803534655																										
1.12719745617551	1.25507622856102	0.052			1.25507622856102																										
1.1297959146728	1.25534954964227	0.053			1.25534954964227																										
1.13240036323556	1.2556234961601	0.054			1.2556234961601																										
1.13501081567232	1.25589806638053	0.055			1.25589806638053																										
1.13762728582343	1.2561732585742	0.056			1.2561732585742																										
1.14024978756117	1.25644907101639	0.057			1.25644907101639																										
