Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					
milliseconds	Volts	Volts	Volts					
7473750	0.0191976011	1.0609895E-5	-0.010489390105	-0.020989390105		1.0609895E-5	1	0.6911136396
7474000	0.038892464	1.08520172E-5	-0.0104855380878	-0.0209925380878		2.14619122E-5	2	1.400128704
7474250	0.0591957099	9.7041789E-6	-0.0104828339089	-0.0209968339089		3.11660911E-5	3	2.1310455564
7474500	0.0794957822	9.5472479E-6	-0.010480286661	-0.021001286661		4.0713339E-5	4	2.8618481592
7474750	0.0996976965	8.5608244E-6	-0.0104787258366	-0.0210067258366		4.92741634E-5	5	3.589117074
7475000	0.1243145103	8.4128609E-6	-0.0104773129757	-0.0210123129757		5.76870243E-5	6	4.4753223708
7475250	0.1408738087	9.0405849E-6	-0.0104752723908	-0.0210172723908		6.67276092E-5	7	5.0714571132
7475500	0.1613289787	8.3904422E-6	-0.0104738819486	-0.0210228819486		7.51180514E-5	8	5.8078432332
7475750	0.1811585636	9.4396381E-6	-0.0104714423105	-0.0210274423105		8.45576895E-5	9	6.5217082896
7476000	0.2007731272	7.9151654E-6	-0.0104705271451	-0.0210335271451		9.24728549E-5	10	7.2278325792
7476250	0.2210979946	7.659592E-6	-0.010469867553	-0.021039867553		1.00132447E-4	11	7.9595278056
7476500	0.2413251129	8.5608244E-6	-0.0104683067286	-0.0210453067286		1.086932714E-4	12	8.6877040644
7476750	0.2615602261	1.00359759E-5	-0.0104652707527	-0.0210492707527		1.187292473E-4	13	9.4161681396
7477000	0.2820258204	9.3768657E-6	-0.0104628938871	-0.0210538938871		1.281061129E-4	14	10.1529295344
7477250	0.302611293	8.829849E-6	-0.0104610640381	-0.0210590640381		1.369359619E-4	15	10.894006548
7477500	0.3231887266	9.8342075E-6	-0.0104582298306	-0.0210632298306		1.467701694E-4	16	11.6347941576
7477750	0.3431598776	1.10044644E-5	-0.0104542253662	-0.0210662253662		1.577746338E-4	17	12.3537555936
7478000	0.3631666741	1.00449434E-5	-0.0104511804228	-0.0210701804228		1.678195772E-4	18	13.0740002676
7478250	0.3835213565	9.843175E-6	-0.0104483372478	-0.0210743372478		1.776627522E-4	19	13.806768834
7478500	0.4037822652	1.21702376E-5	-0.0104431670102	-0.0210761670102		1.898329898E-4	20	14.5361615472
7478750	0.4241710472	1.40892797E-5	-0.0104360777305	-0.0210760777305		2.039222695E-4	21	15.2701576992
7479000	0.4449172558	1.35108768E-5	-0.0104295668537	-0.0210765668537		2.174331463E-4	22	16.0170212088
7479250	0.4653824525	1.23675223E-5	-0.0104241993313	-0.0210781993313		2.298006687E-4	23	16.75376829
7479500	0.485343091	1.25065184E-5	-0.010418692813	-0.021079692813		2.42307187E-4	24	17.472351276
7479750	0.5053760363	1.26365469E-5	-0.010413056266	-0.021081056266		2.54943734E-4	25	18.1935373068
7480000	0.5257112396	1.15290624E-5	-0.0104085272037	-0.0210835272037		2.664727963E-4	26	18.9256046256
7480250	0.5459261228	1.13900663E-5	-0.0104041371373	-0.0210861371373		2.778628627E-4	27	19.6533404208
7480500	0.5664297477	9.2513209E-6	-0.0104018858165	-0.0210908858165		2.871141835E-4	28	20.3914709172
7480750	0.5871528994	9.4306706E-6	-0.0103994551459	-0.0210954551459		2.965448541E-4	29	21.1375043784
7481000	0.6076127957	1.05560901E-5	-0.0103958990558	-0.0210988990558		3.071009442E-4	30	21.8740606452
7481250	0.6273638898	1.04484803E-5	-0.0103924505755	-0.0211024505755		3.175494245E-4	31	22.5851000328
7481500	0.6477087664	1.44614304E-5	-0.0103849891451	-0.0211019891451		3.320108549E-4	32	23.3175155904
