Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)						
milliseconds	Volts	Volts	Volts						
5026750	0.0157530053	7.4174699E-6	-1.925825301E-4	-3.925825301E-4				1	0.5671081908
5027001	0.0359016032	6.8839045E-6	-1.917986256E-4	-3.978986256E-4				2	1.2924577152
5027250	0.0561458068	7.4174699E-6	-1.904811557E-4	-4.026811557E-4				3	2.0212490448
5027500	0.0767206411	6.7449085E-6	-1.898362472E-4	-4.081362472E-4				4	2.7619430796
5027750	0.09766684	7.206734E-6	-1.887295132E-4	-4.131295132E-4				5	3.51600624
5028000	0.1186728187	7.659592E-6	-1.871699212E-4	-4.176699212E-4				6	4.2722214732
5028250	0.1438259801	8.1169338E-6	-1.851529873E-4	-4.217529873E-4				7	5.1777352836
5028500	0.1601001588	7.3277951E-6	-1.839251923E-4	-4.266251923E-4				8	5.7636057168
5028750	0.1806241904	6.9197744E-6	-1.831054178E-4	-4.319054178E-4				9	6.5024708544
5029000	0.2012341334	7.1305104E-6	-1.820749075E-4	-4.369749075E-4				10	7.2444288024
5029250	0.2221852926	5.8436761E-6	-1.823312314E-4	-4.433312314E-4				11	7.9986705336
5029500	0.2430164409	6.7314572E-6	-1.816997742E-4	-4.487997742E-4				12	8.7485918724
5029750	0.2633711675	6.7493922E-6	-1.81050382E-4	-4.54250382E-4				13	9.48136203
5030000	0.2839162242	6.9108069E-6	-1.80239575E-4	-4.59539575E-4				14	10.2209840712
5030250	0.3045043471	6.9108069E-6	-1.794287681E-4	-4.648287681E-4				15	10.9621564956
5030500	0.3250762153	7.2784739E-6	-1.782502942E-4	-4.697502942E-4				16	11.7027437508
5030750	0.3457762217	6.6776523E-6	-1.776726419E-4	-4.752726419E-4				17	12.4479439812
5031000	0.365885361	7.6999457E-6	-1.760726962E-4	-4.797726962E-4				18	13.171872996
5031250	0.3865348365	7.1260266E-6	-1.750466695E-4	-4.848466695E-4				19	13.915254114
5031500	0.4076160333	6.8525183E-6	-1.742941512E-4	-4.901941512E-4				20	14.6741771988
5031750	0.4284084883	7.6461408E-6	-1.727480104E-4	-4.947480104E-4				21	15.4227055788
5032000	0.4483686409	7.7806531E-6	-1.710673573E-4	-4.991673573E-4				22	16.1412710724
5032250	0.468842495	7.5923359E-6	-1.695750214E-4	-5.037750214E-4				23	16.87832982
5032500	0.4894752741	6.57901E-6	-1.690960115E-4	-5.093960115E-4				24	17.6211098676
5032750	0.5101436987	7.0587705E-6	-1.68137241E-4	-5.14537241E-4				25	18.3651731532
5033000	0.5311382774	7.7492669E-6	-1.664879741E-4	-5.189879741E-4				26	19.1209779864
5033250	0.5518601482	6.4893351E-6	-1.66098639E-4	-5.24698639E-4				27	19.8669653352
5033500	0.5722828088	6.9063232E-6	-1.652923158E-4	-5.299923158E-4				28	20.6021811168
5033750	0.592809579	6.6238474E-6	-1.647684684E-4	-5.355684684E-4				29	21.341144844
5034000	0.6134631182	7.1843153E-6	-1.636841531E-4	-5.405841531E-4				30	22.0846722552
5034250	0.6335814449	6.7718109E-6	-1.630123422E-4	-5.460123422E-4				31	22.8089320164
5034500	0.6539351114	7.0273843E-6	-1.620849579E-4	-5.511849579E-4				32	23.5416640104
5034750	0.6748197058	6.3503391E-6	-1.618346189E-4	-5.570346189E-4				33	24.2935094088
5035000	0.6955387055	7.0991242E-6	-1.608354947E-4	-5.621354947E-4				34	25.039393398
5035250	0.7164846085	7.4174699E-6	-1.595180248E-4	-5.669180248E-4				35	25.793445906
