Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					Integrated Y1				
milliseconds	Volts	Volts	Volts									
								Integrate from 0.301348 to 0.147981 Area = 0.0755012				
2438500	0.0083707789	8.042418997E-7	3.042418997E-7	3.042418997E-7	8.042418997E-7			0	1	1	0.3013480404	0
2438750	0.0385472143	5.531433742E-7	3.573853E-7	3.573853E-7	1.3573853E-6			7.26435365809584E-7	2	2	1.3876997148	0.249999999999534
2439000	0.0688600757	3.737872846E-7	2.311726E-7	2.311726E-7	1.7311726E-6			1.22128530628266E-6	3	3	2.4789627252	0.5
2439250	0.0999169027	5.54302254E-8	-2.133972E-7	-2.133972E-7	1.7866028E-6			1.45004725972459E-6	4	4	3.5970084972	0.75
2439500	0.1382053769	1.2257287E-6	5.12331500000001E-7	5.12331500000001E-7	3.0123315E-6			2.31922857731559E-6	5	5	4.9753935684	1
2439750	0.1629121322	-7.01190373E-8	-5.77875000000001E-8	-5.77875000000001E-8	2.9422125E-6			2.82425871826319E-6	6	6	5.8648367592	1.25
2440000	0.1936858991	9.522106737E-7	3.944231E-7	3.944231E-7	3.8944231E-6			3.30179524543342E-6	7	7	6.9726923676	1.5
2440250	0.2244068813	3.065287509E-7	2.009519E-7	2.009519E-7	4.2009519E-6			3.98679049807777E-6	8	8	8.0786477268	1.75
2440500	0.2557368969	5.99141277E-8	-2.39134E-7	-2.39134E-7	4.260866E-6			4.18216359231661E-6	9	9	9.2065282884	2
2440750	0.2871510146	1.944311949E-7	-5.44702799999999E-7	-5.44702799999999E-7	4.4552972E-6			4.31467512015543E-6	10	10	10.3374365256	2.25
2441000	0.3186221132	4.410458182E-7	-6.03657E-7	-6.03657E-7	4.896343E-6			4.66333039993089E-6	11	11	11.4703960752	2.5
2441250	0.3499513337	6.338536146E-7	-4.698034E-7	-4.698034E-7	5.5301966E-6			5.25821558477018E-6	12	12	12.5982480132	2.75
2441500	0.380412368	-1.822165934E-7	-1.15202E-6	-1.15202E-6	5.34798E-6			5.4948815667128E-6	13	13	13.694845248	3
2441750	0.4112801755	1.0553404E-6	-5.96679499999999E-7	-5.96679499999999E-7	6.4033205E-6			5.96889467255713E-6	14	14	14.806086318	3.25
2442000	0.4428940357	1.092370523E-7	-9.874425E-7	-9.874425E-7	6.5125575E-6			6.62021588072865E-6	15	15	15.9441852852	3.5
2442250	0.4744118233	7.863062908E-7	-7.01136199999999E-7	-7.01136199999999E-7	7.2988638E-6			7.1169292849322E-6	16	16	17.0788256388	3.75
2442500	0.5049359784	-2.808624427E-7	-1.4819986E-6	-1.4819986E-6	7.0180014E-6			7.38364902454362E-6	17	17	18.1776952224	4
2442750	0.5366050968	-2.584429315E-7	-2.2404416E-6	-2.2404416E-6	6.7595584E-6			7.06482027843229E-6	18	18	19.3177834848	4.25
2443000	0.5672403426	8.445970199E-7	-1.8958445E-6	-1.8958445E-6	7.6041555E-6			7.37701713229085E-6	19	19	20.4206523336	4.5
