7.687mA	V+	V-
300K	5.86	-5.85
77K	1.102	-1.095
1.002 A
Helium pressure	V+	V-
mbar	mVolts	mVolts
1020	0.0913	-0.0832
890	0.0911	-0.0819
845	0.0905	-0.081
820	0.0905	-0.0805
800	0.0902	-0.08
765	0.09	-0.0798
740	0.0898	-0.0792
720	0.0902	-0.079
690	0.0896	-0.0788
670	0.0895	-0.0782
640	0.0895	-0.0778
620	0.0868	-0.074
615	0.083	-0.0725
610	0.0775	-0.068
605	0.073	-0.063
600	0.069	-0.055
595	0.0615	-0.05
590	0.0545	-0.041
588	0.0455	-0.0351
585	0.044	-0.031
580	0.04	-0.0255
575	0.0282	-0.0185
570	0.023	-0.0093
568	0.019	-0.0056
565	0.018	-0.005
560	0.0125	-1.00E-03
555	0.0102	0.0025
550	0.0085	0.0035
545	0.0081	0.004
540	0.0078	0.0042
535	0.0075	0.0041
530	0.008	0.004
520	0.008	0.0042
500	0.008	0.0048
470	0.0078	0.005
